   pc   mr     e        isp
250.0  3.0  40.0 364.814554
250.0  3.0  50.0 370.541494
250.0  3.0  60.0 383.414559
250.0  3.0  70.0 359.730970
250.0  3.0  80.0 374.658650
250.0  3.0  90.0 370.301068
250.0  3.0 100.0 364.726162
250.0  4.0  10.0 319.195317
250.0  4.0  20.0 327.818384
250.0  4.0  30.0 352.510426
250.0  4.0  40.0 342.931728
250.0  4.0  50.0 359.675648
250.0  4.0  60.0 379.407673
250.0  4.0  70.0 379.466690
250.0  4.0  80.0 357.047754
250.0  4.0  90.0 374.272974
250.0  4.0 100.0 389.223637
250.0  5.0  10.0 309.927071
250.0  5.0  20.0 325.357560
250.0  5.0  30.0 346.320597
250.0  5.0  40.0 328.193767
250.0  5.0  50.0 333.488102
250.0  5.0  60.0 357.833829
250.0  5.0  70.0 354.551441
250.0  5.0  80.0 341.825121
250.0  5.0  90.0 345.769955
250.0  5.0 100.0 368.462377
250.0  6.0  10.0 279.542959
250.0  6.0  20.0 312.497262
250.0  6.0  30.0 307.510585
250.0  6.0  40.0 310.673928
250.0  6.0  50.0 334.403416
250.0  6.0  60.0 332.282448
250.0  6.0  70.0 324.604849
250.0  6.0  80.0 321.537313
250.0  6.0  90.0 337.183067
250.0  6.0 100.0 336.610099
250.0  7.0  10.0 280.495509
250.0  7.0  20.0 285.896453
250.0  7.0  30.0 316.995922
250.0  7.0  40.0 309.528258
250.0  7.0  50.0 306.783591
250.0  7.0  60.0 308.287052
250.0  7.0  70.0 323.300438
250.0  7.0  80.0 328.971752
250.0  7.0  90.0 331.392661
250.0  7.0 100.0 324.621833
250.0  8.0  10.0 271.380180
250.0  8.0  20.0 275.399296
250.0  8.0  30.0 290.754857
250.0  8.0  40.0 299.792760
250.0  8.0  50.0 293.683488
250.0  8.0  60.0 303.900888
250.0  8.0  70.0 316.680710
250.0  8.0  80.0 312.154959
250.0  8.0  90.0 293.405864
250.0  8.0 100.0 318.486974
250.0  9.0  10.0 273.086515
250.0  9.0  20.0 279.975382
250.0  9.0  30.0 285.743534
250.0  9.0  40.0 269.395014
250.0  9.0  50.0 298.001951
250.0  9.0  60.0 284.997159
250.0  9.0  70.0 294.595252
250.0  9.0  80.0 275.917099
250.0  9.0  90.0 290.036963
250.0  9.0 100.0 296.003473
250.0 10.0  10.0 249.585796
250.0 10.0  20.0 268.559371
250.0 10.0  30.0 278.857658
250.0 10.0  40.0 282.200910
250.0 10.0  50.0 270.581756
250.0 10.0  60.0 272.400081
250.0 10.0  70.0 279.853869
250.0 10.0  80.0 265.054450
250.0 10.0  90.0 292.070133
250.0 10.0 100.0 283.945596
300.0  1.0  10.0 257.445489
300.0  1.0  20.0 247.961084
300.0  1.0  30.0 281.931737
300.0  1.0  40.0 260.523318
300.0  1.0  50.0 283.901302
300.0  1.0  60.0 277.550333
300.0  1.0  70.0 295.716316
300.0  1.0  80.0 270.540346
300.0  1.0  90.0 296.110507
300.0  1.0 100.0 296.485286
300.0  2.0  10.0 301.668457
300.0  2.0  20.0 325.791263
300.0  2.0  30.0 338.824242
300.0  2.0  40.0 318.768922
300.0  2.0  50.0 331.671599
300.0  2.0  60.0 320.953030
300.0  2.0  70.0 321.823691
300.0  2.0  80.0 331.403582
300.0  2.0  90.0 326.767685
300.0  2.0 100.0 338.967463
300.0  3.0  10.0 336.397318
300.0  3.0  20.0 360.807962
300.0  3.0  30.0 359.877381
300.0  3.0  40.0 377.035741
300.0  3.0  50.0 368.748902
300.0  3.0  60.0 372.611510
300.0  3.0  70.0 382.919602
300.0  3.0  80.0 388.840436
300.0  3.0  90.0 362.477080
300.0  3.0 100.0 372.897207
300.0  4.0  10.0 329.796753
300.0  4.0  20.0 331.416150
300.0  4.0  30.0 348.101817
300.0  4.0  40.0 373.516777
300.0  4.0  50.0 350.254728
300.0  4.0  60.0 374.981181
300.0  4.0  70.0 380.034984
300.0  4.0  80.0 377.611150
300.0  4.0  90.0 378.831746
300.0  4.0 100.0 386.778025
300.0  5.0  10.0 319.442522
300.0  5.0  20.0 333.850690
300.0  5.0  30.0 332.792962
300.0  5.0  40.0 330.647837
300.0  5.0  50.0 335.926063
300.0  5.0  60.0 352.257545
300.0  5.0  70.0 337.962503
300.0  5.0  80.0 342.224885
300.0  5.0  90.0 370.159578
300.0  5.0 100.0 364.842849
300.0  6.0  10.0 304.941900
300.0  6.0  20.0 321.850875
300.0  6.0  30.0 309.832912
300.0  6.0  40.0 334.973421
300.0  6.0  50.0 312.686435
300.0  6.0  60.0 320.551481
300.0  6.0  70.0 327.862798
300.0  6.0  80.0 330.785969
300.0  6.0  90.0 324.423776
300.0  6.0 100.0 338.843897
300.0  7.0  10.0 296.779132
300.0  7.0  20.0 300.131661
300.0  7.0  30.0 292.204825
300.0  7.0  40.0 318.720098
300.0  7.0  50.0 309.963151
300.0  7.0  60.0 299.457177
300.0  7.0  70.0 308.462988
300.0  7.0  80.0 333.128021
300.0  7.0  90.0 310.543563
300.0  7.0 100.0 325.768131
300.0  8.0  10.0 280.571294
300.0  8.0  20.0 295.552684
300.0  8.0  30.0 278.889754
300.0  8.0  40.0 286.916020
300.0  8.0  50.0 287.798476
300.0  8.0  60.0 312.009558
300.0  8.0  70.0 303.784305
300.0  8.0  80.0 292.254376
300.0  8.0  90.0 308.501740
300.0  8.0 100.0 304.579789
300.0  9.0  10.0 267.212203
300.0  9.0  20.0 261.074744
300.0  9.0  30.0 263.830464
300.0  9.0  40.0 281.474188
300.0  9.0  50.0 297.075626
300.0  9.0  60.0 274.066642
300.0  9.0  70.0 291.661384
300.0  9.0  80.0 276.980460
300.0  9.0  90.0 282.097977
300.0  9.0 100.0 296.062460
300.0 10.0  10.0 245.667098
300.0 10.0  20.0 265.623104
300.0 10.0  30.0 279.913199
300.0 10.0  40.0 261.251350
300.0 10.0  50.0 276.628586
300.0 10.0  60.0 277.444160
300.0 10.0  70.0 282.895750
300.0 10.0  80.0 289.094516
300.0 10.0  90.0 289.108661
300.0 10.0 100.0 283.982798
350.0  1.0  10.0 243.915001
350.0  1.0  20.0 249.434966
350.0  1.0  30.0 275.406775
350.0  1.0  40.0 261.998735
350.0  1.0  50.0 272.376809
350.0  1.0  60.0 285.025797
350.0  1.0  70.0 283.191667
350.0  1.0  80.0 295.015546
350.0  1.0  90.0 288.585533
350.0  1.0 100.0 276.960124
350.0  2.0  10.0 313.676287
350.0  2.0  20.0 310.803792
350.0  2.0  30.0 321.850214
350.0  2.0  40.0 324.808246
350.0  2.0  50.0 325.721933
350.0  2.0  60.0 341.012343
350.0  2.0  70.0 350.890451
350.0  2.0  80.0 347.476638
350.0  2.0  90.0 333.846139
350.0  2.0 100.0 325.050567
350.0  3.0  10.0 333.671815
350.0  3.0  20.0 350.030121
350.0  3.0  30.0 369.074023
350.0  3.0  40.0 377.216447
350.0  3.0  50.0 374.918359
350.0  3.0  60.0 363.772431
350.0  3.0  70.0 370.073731
350.0  3.0  80.0 368.988977
350.0  3.0  90.0 367.620906
350.0  3.0 100.0 368.036978
350.0  4.0  10.0 338.302052
350.0  4.0  20.0 328.917860
350.0  4.0  30.0 350.597817
350.0  4.0  40.0 345.007168
350.0  4.0  50.0 365.739867
350.0  4.0  60.0 369.461432
350.0  4.0  70.0 374.511001
350.0  4.0  80.0 374.082554
350.0  4.0  90.0 373.299113
