   pc  mr     e        isp
200.0 4.0  20.0 341.080612
200.0 4.0  30.0 350.779902
200.0 4.0  40.0 357.208540
200.0 4.0  50.0 361.959411
200.0 4.0  60.0 365.697951
200.0 4.0  70.0 368.763078
200.0 4.0  80.0 371.349893
200.0 4.0  90.0 373.580550
200.0 4.0 100.0 375.536373
200.0 4.5  10.0 314.626894
200.0 4.5  20.0 332.718070
200.0 4.5  30.0 342.105041
200.0 4.5  40.0 348.305494
200.0 4.5  50.0 352.872341
200.0 4.5  60.0 356.454069
200.0 4.5  70.0 359.380862
200.0 4.5  80.0 361.842758
200.0 4.5  90.0 363.958722
200.0 4.5 100.0 365.807952
200.0 5.0  10.0 307.288506
200.0 5.0  20.0 324.744554
200.0 5.0  30.0 333.731876
200.0 5.0  40.0 339.626686
200.0 5.0  50.0 343.940255
200.0 5.0  60.0 347.303128
200.0 5.0  70.0 350.036081
200.0 5.0  80.0 352.323543
200.0 5.0  90.0 354.280810
200.0 5.0 100.0 355.984499
250.0 0.5  10.0 214.539561
250.0 0.5  20.0 225.907063
250.0 0.5  30.0 231.730682
250.0 0.5  40.0 235.554866
250.0 0.5  50.0 238.363327
250.0 0.5  60.0 240.563233
250.0 0.5  70.0 242.360545
250.0 0.5  80.0 243.873184
250.0 0.5  90.0 245.174648
250.0 0.5 100.0 246.313682
250.0 1.0  10.0 246.888619
250.0 1.0  20.0 260.399087
250.0 1.0  30.0 267.368391
250.0 1.0  40.0 271.959528
250.0 1.0  50.0 275.337407
250.0 1.0  60.0 277.986488
250.0 1.0  70.0 280.152601
250.0 1.0  80.0 281.976807
250.0 1.0  90.0 283.547169
250.0 1.0 100.0 284.922165
250.0 1.5  10.0 270.773493
250.0 1.5  20.0 284.005843
250.0 1.5  30.0 290.930492
250.0 1.5  40.0 295.533301
250.0 1.5  50.0 298.942173
250.0 1.5  60.0 301.629481
250.0 1.5  70.0 303.836215
250.0 1.5  80.0 305.701277
250.0 1.5  90.0 307.311719
250.0 1.5 100.0 308.725547
250.0 2.0  10.0 306.658613
250.0 2.0  20.0 318.777723
250.0 2.0  30.0 324.796890
250.0 2.0  40.0 328.726654
250.0 2.0  50.0 331.616688
250.0 2.0  60.0 333.887689
250.0 2.0  70.0 335.749649
250.0 2.0  80.0 337.322160
250.0 2.0  90.0 338.679900
250.0 2.0 100.0 339.874165
250.0 2.5  10.0 327.026272
250.0 2.5  20.0 341.103114
250.0 2.5  30.0 347.981095
250.0 2.5  40.0 352.371186
250.0 2.5  50.0 355.532725
250.0 2.5  60.0 357.972544
250.0 2.5  70.0 359.942353
250.0 2.5  80.0 361.584042
250.0 2.5  90.0 362.984919
250.0 2.5 100.0 364.202256
250.0 3.0  10.0 334.061699
250.0 3.0  20.0 350.536040
250.0 3.0  30.0 358.636680
250.0 3.0  40.0 363.814554
250.0 3.0  50.0 367.541494
250.0 3.0  60.0 370.414559
250.0 3.0  70.0 372.730970
250.0 3.0  80.0 374.658650
250.0 3.0  90.0 376.301068
250.0 3.0 100.0 377.726162
250.0 3.5  10.0 330.831811
250.0 3.5  20.0 349.428620
250.0 3.5  30.0 358.910702
250.0 3.5  40.0 365.068246
250.0 3.5  50.0 369.535344
250.0 3.5  60.0 372.995867
250.0 3.5  70.0 375.793528
250.0 3.5  80.0 378.126259
250.0 3.5  90.0 380.116542
250.0 3.5 100.0 381.845212
250.0 4.0  10.0 323.195317
250.0 4.0  20.0 341.818384
250.0 4.0  30.0 351.510426
250.0 4.0  40.0 357.931728
250.0 4.0  50.0 362.675648
250.0 4.0  60.0 366.407673
250.0 4.0  70.0 369.466690
250.0 4.0  80.0 372.047754
250.0 4.0  90.0 374.272974
250.0 4.0 100.0 376.223637
250.0 4.5  10.0 315.325696
250.0 4.5  20.0 333.405491
250.0 4.5  30.0 342.778848
250.0 4.5  40.0 348.966237
250.0 4.5  50.0 353.520816
250.0 4.5  60.0 357.091027
250.0 4.5  70.0 360.006978
250.0 4.5  80.0 362.458638
250.0 4.5  90.0 364.564914
250.0 4.5 100.0 366.404960
250.0 5.0  10.0 307.927071
250.0 5.0  20.0 325.357560
250.0 5.0  30.0 334.320597
250.0 5.0  40.0 340.193767
250.0 5.0  50.0 344.488102
250.0 5.0  60.0 347.833829
250.0 5.0  70.0 350.551441
